Site,Mine Year,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
11,2000,0.765985528,0.795983565,0.828070187,0.788972273,0.82968995,0.787109847,0.79688275,0.758223937,0.765863072,0.81876244,0.807434203,0.789208902,0.694644925,0.423343775,0.228566692,0.327964509,0.144626712,0.258946966,0.367943256,0.608815166,0.684125494,0.632860422,0.73945416,0.673600011,0.743977477,0.778657617,0.773162706,0.802861007,0.765978098,0.823858951,0.811745395,0.793721441,0.799320944,0.845239855,0.853637369,0.830780355
12,2005,0.743928306,0.790645434,0.832183762,0.806907977,0.815101417,0.751816762,0.798332947,0.762959777,0.78353222,0.819999362,0.816480131,0.821793195,0.798206483,0.717686158,0.679313763,0.522943075,0.520412363,0.473722535,0.358558141,0.41622336,0.446147107,0.487747851,0.580838717,0.549203396,0.628097776,0.695032132,0.702074924,0.741769416,0.728196937,0.788210972,0.759528332,0.774442228,0.778478506,0.811054509,0.823407408,0.825007906
13,1985,0.161068022,0.210576034,0.353077556,0.437817811,0.368601651,0.590234696,0.611726665,0.637586987,0.6538399,0.509107935,0.635492868,0.463990552,0.657012444,0.694142413,0.598672592,0.558387239,0.597878507,0.721287957,0.642871539,0.71553858,0.761408537,0.722079245,0.729593459,0.648829297,0.643661448,0.781776902,0.767940997,0.745426689,0.770939098,0.79867915,0.796794712,0.764995395,0.795151276,0.786839947,0.805268973,0.721121682
14,1990,0.313861282,0.255013969,0.292993802,0.354270858,0.413158485,0.560221566,0.534320587,0.572295807,0.609458543,0.601736645,0.697360775,0.683819601,0.729934141,0.76036651,0.718166038,0.740146324,0.762615771,0.782025904,0.722729169,0.754314401,0.795387841,0.776497452,0.807823798,0.785721715,0.779504124,0.807117756,0.819353731,0.833283145,0.806152124,0.845740457,0.813906719,0.8156657,0.848209738,0.858634053,0.859154554,0.83138602
15,1995,0.82919268,0.828336008,0.85270627,0.834863769,0.833309745,0.813147694,0.836008999,0.802640319,0.782653873,0.828617712,0.556038413,0.42966416,0.625968151,0.664503954,0.701892958,0.657163163,0.702672622,0.712938897,0.723740613,0.742667841,0.739686064,0.745218248,0.747115302,0.76692021,0.784001013,0.79662547,0.819317171,0.834474538,0.851017967,0.874152837,0.858662468,0.85681024,0.879374471,0.887009198,0.879413299,0.887384067
16,1995,0.813654216,0.79841975,0.874241964,0.838224496,0.849253696,0.835092854,0.809067344,0.606817484,0.379596563,0.415420606,0.439746002,0.581182892,0.626396284,0.635968689,0.649751091,0.675361541,0.720407982,0.737810814,0.71148995,0.75702917,0.761063664,0.748872448,0.77008397,0.755170474,0.774660683,0.788965868,0.78613574,0.815682647,0.78705434,0.84207199,0.846797786,0.838470745,0.855766961,0.873705824,0.864981287,0.846146989
17,1990,0.447118153,0.481194792,0.573407543,0.525210278,0.50962246,0.554631346,0.64829627,0.584942235,0.648397017,0.700785666,0.756137763,0.720773397,0.779577508,0.781949933,0.776196942,0.768472066,0.778404849,0.790988401,0.807138935,0.717496285,0.840239388,0.817884962,0.853425459,0.80272369,0.822496682,0.853285048,0.839711217,0.841201038,0.860535383,0.874110195,0.864200864,0.848654121,0.881763177,0.878540387,0.872376924,0.870751926
18,1990,0.424491101,0.593396018,0.674531167,0.647757498,0.638171894,0.608588464,0.62769341,0.617041462,0.635266079,0.71453309,0.723148019,0.768062131,0.766686684,0.800951082,0.792689488,0.767360262,0.814394416,0.805791771,0.771258083,0.833629138,0.823686793,0.819819984,0.852381218,0.82730284,0.846661791,0.858176245,0.848591466,0.825961716,0.854624725,0.868181479,0.881334224,0.833323506,0.861977527,0.893964196,0.876827062,0.871887741
19,1990,0.801803648,0.798977337,0.838343256,0.808965605,0.846480843,0.74522814,0.435372813,0.374369314,0.574365988,0.735509876,0.682277648,0.769415897,0.787865762,0.82258523,0.780704037,0.752503934,0.787389593,0.778047608,0.799105547,0.803655477,0.843241346,0.815172746,0.839009997,0.810297706,0.824909586,0.851683095,0.836831889,0.851673065,0.836661004,0.874339621,0.86422339,0.853178314,0.856901623,0.883849442,0.873177994,0.87929358
20,1995,0.714861076,0.787365068,0.66659959,0.23045796,0.50440076,0.685598442,0.652864366,0.606942313,0.618637226,0.48870066,0.607974304,0.558034057,0.687529211,0.678094984,0.672860289,0.621333041,0.705249392,0.749593449,0.755743995,0.767545279,0.794474906,0.788808088,0.828497049,0.772045728,0.808906826,0.834420905,0.829600184,0.825515154,0.838246057,0.876550178,0.852247613,0.849442695,0.855939919,0.884510674,0.880836791,0.85174874
